Chr	habitat	winID	start	end	winCenter	mean	max	n	num_gt_thresh	gt_frac	score_outlier	gtprop_outlier	is_outlier
Chr01_Occ	Rural	35	1700000	1750000	1725000	1.86077980208333	3.94112	96	45	0.46875	1	1	1
Chr01_Occ	Rural	180	8950000	9000000	8975000	1.91965454467005	4.31304	197	92	0.467005076142132	1	1	1
Chr01_Occ	Rural	181	9000000	9050000	9025000	2.21584365112745	5.42757	204	108	0.529411764705882	1	1	1
Chr01_Occ	Rural	234	11650000	11700000	11675000	1.51833877132353	4.01841	136	35	0.257352941176471	1	1	1
Chr01_Occ	Rural	585	29200000	29250000	29225000	1.51174296824373	4.04559	279	79	0.283154121863799	1	1	1
Chr01_Occ	Rural	886	44250000	44300000	44275000	1.6359098475	3.53581	120	40	0.333333333333333	1	1	1
Chr01_Occ	Rural	887	44300000	44350000	44325000	1.45168710361446	3.76139	83	21	0.253012048192771	1	1	1
Chr01_Occ	Rural	896	44750000	44800000	44775000	2.14498291523942	4.76319	241	137	0.568464730290456	1	1	1
Chr01_Occ	Rural	897	44800000	44850000	44825000	1.71701292105263	3.01594	38	13	0.342105263157895	1	1	1
Chr01_Occ	Rural	1009	50400000	50450000	50425000	1.58304701022222	3.67341	225	72	0.32	1	1	1
Chr01_Occ	Rural	1010	50450000	50500000	50475000	1.58416874251497	3.37981	167	51	0.305389221556886	1	1	1
Chr01_Pall	Rural	24	1150000	1200000	1175000	1.73017562083665	4.26816	251	104	0.414342629482072	1	1	1
Chr01_Pall	Rural	49	2400000	2450000	2425000	1.50586699583333	3.02624	144	40	0.277777777777778	1	1	1
Chr01_Pall	Rural	101	5000000	5050000	5025000	1.38570070780142	3.12071	141	41	0.290780141843972	1	1	1
Chr01_Pall	Rural	186	9250000	9300000	9275000	1.65898521909091	3.67931	220	95	0.431818181818182	1	1	1
Chr01_Pall	Rural	496	24750000	24800000	24775000	1.66503693969466	3.25811	131	52	0.396946564885496	1	1	1
Chr01_Pall	Rural	1291	64500000	64550000	64525000	1.96434698765432	3.84103	81	35	0.432098765432099	1	1	1
Chr01_Pall	Rural	1292	64550000	64600000	64575000	1.59242790277778	3.19017	36	13	0.361111111111111	1	1	1
Chr01_Pall	Rural	1294	64650000	64700000	64675000	1.88522488888889	3.426	99	49	0.494949494949495	1	1	1
Chr02_Occ	Rural	214	10650000	10700000	10675000	1.69060752380952	3.60862	42	16	0.380952380952381	1	1	1
Chr02_Occ	Rural	215	10700000	10750000	10725000	1.53585756371951	3.56588	164	44	0.268292682926829	1	1	1
Chr02_Occ	Rural	308	15350000	15400000	15375000	1.89591935584416	3.38349	77	37	0.480519480519481	1	1	1
Chr02_Occ	Rural	314	15650000	15700000	15675000	1.68813536153846	2.84001	39	15	0.384615384615385	1	1	1
Chr02_Occ	Rural	317	15800000	15850000	15825000	2.21684066371681	3.80049	113	74	0.654867256637168	1	1	1
Chr02_Occ	Rural	466	23250000	23300000	23275000	1.5072068481203	3.46372	133	42	0.315789473684211	1	1	1
Chr02_Occ	Rural	550	27450000	27500000	27475000	1.5243392312	3.46248	100	33	0.33	1	1	1
Chr02_Occ	Rural	654	32650000	32700000	32675000	1.5207527014978	4.00837	227	72	0.317180616740088	1	1	1
Chr02_Occ	Rural	656	32750000	32800000	32775000	1.39399552691667	2.9621	120	31	0.258333333333333	1	1	1
Chr02_Occ	Rural	857	42800000	42850000	42825000	1.41616898737101	4.41411	407	122	0.2997542997543	1	1	1
Chr02_Occ	Rural	960	47950000	48000000	47975000	1.51513771836735	3.31399	245	77	0.314285714285714	1	1	1
Chr02_Occ	Rural	1087	54300000	54350000	54325000	1.43687417252427	3.63268	103	39	0.378640776699029	1	1	1
Chr02_Occ	Rural	1088	54350000	54400000	54375000	1.95743638985507	3.69492	69	33	0.478260869565217	1	1	1
Chr02_Pall	Rural	11	500000	550000	525000	1.66611824307985	3.86404	263	94	0.357414448669202	1	1	1
Chr02_Pall	Rural	150	7450000	7500000	7475000	1.95668205672727	4.1152	275	143	0.52	1	1	1
Chr02_Pall	Rural	174	8650000	8700000	8675000	1.94417909946809	4.59375	188	102	0.542553191489362	1	1	1
Chr02_Pall	Rural	240	11950000	12000000	11975000	1.83666308045977	4.74256	261	111	0.425287356321839	1	1	1
Chr02_Pall	Rural	286	14250000	14300000	14275000	1.59004128689655	3.84338	145	52	0.358620689655172	1	1	1
Chr02_Pall	Rural	568	28350000	28400000	28375000	1.93341905475	5.25788	304	131	0.430921052631579	1	1	1
Chr02_Pall	Rural	901	45000000	45050000	45025000	1.65400171464286	3.82109	56	22	0.392857142857143	1	1	1
Chr03_Occ	Rural	36	1750000	1800000	1775000	1.42095087295154	3.56049	227	63	0.277533039647577	1	1	1
Chr03_Occ	Rural	304	15150000	15200000	15175000	1.69355031957265	3.95416	117	50	0.427350427350427	1	1	1
Chr03_Occ	Rural	337	16800000	16850000	16825000	2.03084993699634	4.16324	273	148	0.542124542124542	1	1	1
Chr03_Occ	Rural	426	21250000	21300000	21275000	1.60566694117904	3.94249	229	69	0.301310043668122	1	1	1
Chr03_Occ	Rural	446	22250000	22300000	22275000	1.51405984057971	3.74924	207	63	0.304347826086957	1	1	1
Chr03_Occ	Rural	495	24700000	24750000	24725000	1.52062319659864	4.45467	147	44	0.299319727891156	1	1	1
Chr03_Occ	Rural	823	41100000	41150000	41125000	1.46816739473684	3.54696	304	89	0.292763157894737	1	1	1
Chr03_Occ	Rural	931	46500000	46550000	46525000	1.56461403176471	3.59797	51	20	0.392156862745098	1	1	1
Chr03_Occ	Rural	940	46950000	47000000	46975000	1.89624136621622	3.57918	148	76	0.513513513513513	1	1	1
Chr03_Occ	Rural	996	49750000	49800000	49775000	1.62040037236842	3.07865	76	24	0.315789473684211	1	1	1
Chr03_Occ	Rural	997	49800000	49850000	49825000	1.58705069030303	3.76311	132	49	0.371212121212121	1	1	1
Chr03_Occ	Rural	1140	56950000	57000000	56975000	1.42459600292398	3.76888	171	45	0.263157894736842	1	1	1
Chr03_Pall	Rural	221	11000000	11050000	11025000	1.79844513694915	4.25114	118	57	0.483050847457627	1	1	1
Chr03_Pall	Rural	222	11050000	11100000	11075000	2.05686224193548	3.50947	62	32	0.516129032258065	1	1	1
Chr03_Pall	Rural	300	14950000	15000000	14975000	1.40734544083333	3.36808	120	37	0.308333333333333	1	1	1
Chr03_Pall	Rural	448	22350000	22400000	22375000	1.87909605700483	3.7176	207	87	0.420289855072464	1	1	1
Chr03_Pall	Rural	454	22650000	22700000	22675000	1.92334331428571	4.01572	245	109	0.444897959183673	1	1	1
Chr03_Pall	Rural	506	25250000	25300000	25275000	1.46145949066667	2.99793	105	28	0.266666666666667	1	1	1
Chr03_Pall	Rural	543	27100000	27150000	27125000	1.56331381342391	4.18987	184	62	0.33695652173913	1	1	1
Chr03_Pall	Rural	1168	58350000	58400000	58375000	1.41123798176796	3.18274	181	50	0.276243093922652	1	1	1
Chr04_Occ	Rural	140	6950000	7000000	6975000	1.86368311578947	4.37661	133	66	0.496240601503759	1	1	1
Chr04_Occ	Rural	141	7000000	7050000	7025000	1.95926759275362	3.71296	69	31	0.449275362318841	1	1	1
Chr04_Occ	Rural	142	7050000	7100000	7075000	2.34603305932203	4.42633	118	74	0.627118644067797	1	1	1
Chr04_Occ	Rural	143	7100000	7150000	7125000	2.70222498026316	4.99286	152	120	0.789473684210526	1	1	1
Chr04_Occ	Rural	145	7200000	7250000	7225000	1.43743866570186	3.65973	161	48	0.298136645962733	1	1	1
Chr04_Occ	Rural	146	7250000	7300000	7275000	1.5808421988	3.67524	125	37	0.296	1	1	1
Chr04_Occ	Rural	148	7350000	7400000	7375000	1.82309794257426	3.46544	101	47	0.465346534653465	1	1	1
Chr04_Occ	Rural	151	7500000	7550000	7525000	1.72831612508287	3.93509	181	71	0.392265193370166	1	1	1
Chr04_Occ	Rural	782	39050000	39100000	39075000	1.69587963796296	3.63153	108	44	0.407407407407407	1	1	1
Chr04_Occ	Rural	1008	50350000	50400000	50375000	1.46202868505747	2.82223	87	32	0.367816091954023	1	1	1
Chr04_Occ	Rural	1156	57750000	57800000	57775000	1.72881341534392	4.35904	189	75	0.396825396825397	1	1	1
Chr04_Occ	Rural	1157	57800000	57850000	57825000	2.80123084375	4.30359	96	78	0.8125	1	1	1
Chr04_Occ	Rural	1159	57900000	57950000	57925000	2.01993818604651	3.47511	43	26	0.604651162790698	1	1	1
Chr04_Pall	Rural	162	8050000	8100000	8075000	1.46742441837209	3.13092	129	38	0.294573643410853	1	1	1
Chr04_Pall	Rural	263	13100000	13150000	13125000	1.71542318909747	3.71485	277	111	0.40072202166065	1	1	1
Chr04_Pall	Rural	465	23200000	23250000	23225000	1.41011719341317	3.86783	167	51	0.305389221556886	1	1	1
Chr04_Pall	Rural	1184	59150000	59200000	59175000	1.68094337196262	3.60191	107	38	0.355140186915888	1	1	1
Chr04_Pall	Rural	1185	59200000	59250000	59225000	1.50647720769231	3.0749	130	38	0.292307692307692	1	1	1
Chr05_Occ	Rural	86	4250000	4300000	4275000	1.47761946993007	3.7584	143	49	0.342657342657343	1	1	1
Chr05_Occ	Rural	87	4300000	4350000	4325000	2.73980209555556	4.86107	180	144	0.8	1	1	1
Chr05_Occ	Rural	88	4350000	4400000	4375000	1.97090022029703	4.42246	202	96	0.475247524752475	1	1	1
Chr05_Occ	Rural	89	4400000	4450000	4425000	1.4907962229607301	4.41782	331	91	0.274924471299094	1	1	1
Chr05_Occ	Rural	91	4500000	4550000	4525000	2.49482056	5.42178	190	125	0.657894736842105	1	1	1
Chr05_Occ	Rural	92	4550000	4600000	4575000	3.543457	5.28511	157	138	0.878980891719745	1	1	1
Chr05_Occ	Rural	93	4600000	4650000	4625000	3.20573494285714	4.69021	105	91	0.866666666666667	1	1	1
Chr05_Occ	Rural	94	4650000	4700000	4675000	2.41278076322581	4.23228	62	48	0.774193548387097	1	1	1
Chr05_Occ	Rural	97	4800000	4850000	4825000	2.54779360944882	4.59722	127	93	0.732283464566929	1	1	1
Chr05_Occ	Rural	98	4850000	4900000	4875000	1.57666145154639	3.50299	97	39	0.402061855670103	1	1	1
Chr05_Occ	Rural	164	8150000	8200000	8175000	2.07484846808511	3.98657	47	28	0.595744680851064	1	1	1
Chr05_Occ	Rural	165	8200000	8250000	8225000	1.67652590666667	3.4868	75	27	0.36	1	1	1
Chr05_Occ	Rural	166	8250000	8300000	8275000	1.99685386775956	4.40444	183	93	0.508196721311475	1	1	1
Chr05_Occ	Rural	851	42500000	42550000	42525000	1.62991601675393	3.74618	191	68	0.356020942408377	1	1	1
Chr05_Occ	Rural	911	45500000	45550000	45525000	1.78564358490566	4.0862	53	24	0.452830188679245	1	1	1
Chr05_Pall	Rural	514	25650000	25700000	25675000	1.64918679225806	3.29332	155	51	0.329032258064516	1	1	1
Chr05_Pall	Rural	529	26400000	26450000	26425000	1.74190087588652	3.66755	141	64	0.453900709219858	1	1	1
Chr05_Pall	Rural	1020	50950000	51000000	50975000	1.41168210809524	3.51898	210	60	0.285714285714286	1	1	1
Chr05_Pall	Rural	1028	51350000	51400000	51375000	1.54411214607843	3.63059	102	31	0.303921568627451	1	1	1
Chr05_Pall	Rural	1037	51800000	51850000	51825000	1.45152683488372	3.55189	129	37	0.286821705426357	1	1	1
Chr06_Occ	Rural	49	2400000	2450000	2425000	1.75299839240506	4.11461	553	211	0.381555153707052	1	1	1
Chr06_Occ	Rural	82	4050000	4100000	4075000	1.965199776	3.99294	150	64	0.426666666666667	1	1	1
Chr06_Occ	Rural	83	4100000	4150000	4125000	1.80662838104396	4.97237	182	65	0.357142857142857	1	1	1
Chr06_Occ	Rural	392	19550000	19600000	19575000	1.59915810425532	3.37791	141	44	0.312056737588652	1	1	1
Chr06_Occ	Rural	605	30200000	30250000	30225000	1.99045850408163	3.29406	49	25	0.510204081632653	1	1	1
Chr06_Occ	Rural	606	30250000	30300000	30275000	1.70365401777778	3.8763	45	18	0.4	1	1	1
Chr06_Occ	Rural	657	32800000	32850000	32825000	1.65080369444444	3.90531	126	48	0.380952380952381	1	1	1
Chr06_Occ	Rural	928	46350000	46400000	46375000	1.40187540989247	3.2253	279	80	0.28673835125448	1	1	1
Chr06_Pall	Rural	120	5950000	6000000	5975000	1.43544447330508	3.78691	118	35	0.296610169491525	1	1	1
Chr06_Pall	Rural	137	6800000	6850000	6825000	2.6644542233564	5.28594	289	186	0.643598615916955	1	1	1
Chr06_Pall	Rural	1048	52350000	52400000	52375000	1.44280627483871	3.33441	155	43	0.27741935483871	1	1	1
Chr06_Pall	Rural	1049	52400000	52450000	52425000	1.84525899666667	3.59466	372	185	0.49731182795698903	1	1	1
Chr06_Pall	Rural	1209	60400000	60450000	60425000	1.69082942777778	4.03983	162	62	0.382716049382716	1	1	1
Chr06_Pall	Rural	1215	60700000	60750000	60725000	1.47771910567376	4.12761	141	37	0.26241134751773	1	1	1
Chr07_Occ	Rural	74	3650000	3700000	3675000	1.51834366289593	3.81234	221	71	0.321266968325792	1	1	1
Chr07_Occ	Rural	81	4000000	4050000	4025000	1.4465101988	3.34042	165	65	0.393939393939394	1	1	1
Chr07_Occ	Rural	501	25000000	25050000	25025000	1.48401562812865	3.60692	171	54	0.315789473684211	1	1	1
Chr07_Occ	Rural	909	45400000	45450000	45425000	1.55127599632558	3.32735	215	67	0.311627906976744	1	1	1
Chr07_Occ	Rural	910	45450000	45500000	45475000	2.59860063613445	5.00292	238	165	0.69327731092437	1	1	1
Chr07_Occ	Rural	920	45950000	46000000	45975000	1.70989926668966	3.66181	116	41	0.353448275862069	1	1	1
Chr07_Occ	Rural	997	49800000	49850000	49825000	1.75458965	3.12573	122	46	0.377049180327869	1	1	1
Chr07_Occ	Rural	1002	50050000	50100000	50075000	2.4694118115942	4.02415	69	52	0.753623188405797	1	1	1
Chr07_Pall	Rural	83	4100000	4150000	4125000	1.94486427716867	4.29644	166	78	0.469879518072289	1	1	1
Chr07_Pall	Rural	349	17400000	17450000	17425000	1.40522664789916	3.5464	238	66	0.277310924369748	1	1	1
Chr07_Pall	Rural	438	21850000	21900000	21875000	1.39294635666667	2.7213	30	11	0.366666666666667	1	1	1
Chr07_Pall	Rural	869	43400000	43450000	43425000	1.81027312483221	3.49897	149	58	0.389261744966443	1	1	1
Chr08_Occ	Rural	63	3100000	3150000	3125000	2.085077	3.58821	29	17	0.586206896551724	1	1	1
Chr08_Occ	Rural	120	5950000	6000000	5975000	1.441419728125	3.32101	64	18	0.28125	1	1	1
Chr08_Occ	Rural	121	6000000	6050000	6025000	1.69252590478469	3.77322	209	79	0.37799043062201	1	1	1
Chr08_Occ	Rural	176	8750000	8800000	8775000	2.00958679770115	4.37446	174	73	0.419540229885057	1	1	1
Chr08_Occ	Rural	344	17150000	17200000	17175000	1.54056726993865	3.89636	163	52	0.319018404907975	1	1	1
Chr08_Occ	Rural	346	17250000	17300000	17275000	1.61367896878981	4.34386	157	56	0.356687898089172	1	1	1
Chr08_Pall	Rural	123	6100000	6150000	6125000	2.06273086864865	4.37948	185	96	0.518918918918919	1	1	1
Chr08_Pall	Rural	185	9200000	9250000	9225000	1.45221804090909	2.8552399999999998	132	40	0.303030303030303	1	1	1
Chr08_Pall	Rural	331	16500000	16550000	16525000	1.50474736580087	4.12583	231	67	0.29004329004329	1	1	1
Chr08_Pall	Rural	333	16600000	16650000	16625000	2.53637893181818	4.01176	88	73	0.829545454545455	1	1	1
Chr08_Pall	Rural	334	16650000	16700000	16675000	2.12434221171171	3.97652	222	125	0.563063063063063	1	1	1
Chr08_Pall	Rural	719	35900000	35950000	35925000	1.83072322972973	3.98453	74	34	0.459459459459459	1	1	1
Chr08_Pall	Rural	726	36250000	36300000	36275000	1.44053596133333	3.16621	75	24	0.32	1	1	1
Chr08_Pall	Rural	735	36700000	36750000	36725000	1.43652244755	3.4578	200	52	0.26	1	1	1
Chr08_Pall	Rural	1152	57550000	57600000	57575000	1.45790884921466	3.05635	191	61	0.319371727748691	1	1	1
Chr08_Pall	Rural	1159	57900000	57950000	57925000	1.49607182469136	2.97766	81	34	0.419753086419753	1	1	1
Chr01_Occ	Urban	35	1700000	1750000	1725000	1.82617359754902	3.80946	102	46	0.450980392156863	1	1	1
Chr01_Occ	Urban	180	8950000	9000000	8975000	1.83908127135417	4.66994	192	80	0.416666666666667	1	1	1
Chr01_Occ	Urban	181	9000000	9050000	9025000	2.1519942745098	4.78824	204	109	0.534313725490196	1	1	1
Chr01_Occ	Urban	234	11650000	11700000	11675000	1.61375849421488	4.41137	121	35	0.289256198347107	1	1	1
Chr01_Occ	Urban	555	27700000	27750000	27725000	1.44162527017544	3.05892	57	16	0.280701754385965	1	1	1
Chr01_Occ	Urban	567	28300000	28350000	28325000	1.56264365170833	4.32747	240	84	0.35	1	1	1
Chr01_Occ	Urban	585	29200000	29250000	29225000	1.71266719139785	4.32533	279	110	0.39426523297491	1	1	1
Chr01_Occ	Urban	896	44750000	44800000	44775000	2.05034839504132	4.2296	242	135	0.557851239669422	1	1	1
Chr01_Occ	Urban	1009	50400000	50450000	50425000	1.60222806828194	4.18079	227	80	0.352422907488987	1	1	1
Chr01_Occ	Urban	1010	50450000	50500000	50475000	1.450465325375	3.42841	160	46	0.2875	1	1	1
Chr01_Occ	Urban	1012	50550000	50600000	50575000	1.40089964640523	3.96065	153	44	0.287581699346405	1	1	1
Chr01_Occ	Urban	1300	64950000	65000000	64975000	1.59033340833333	3.44069	114	34	0.298245614035088	1	1	1
Chr01_Pall	Urban	15	700000	750000	725000	1.42064109774436	3.35429	133	39	0.293233082706767	1	1	1
Chr01_Pall	Urban	21	1000000	1050000	1025000	1.47419540458599	3.3493	157	52	0.331210191082803	1	1	1
Chr01_Pall	Urban	22	1050000	1100000	1075000	1.46298988688312	3.67023	231	65	0.281385281385281	1	1	1
