Chr	pos	avg_hudson_fst	start	end	direction
5	32415436	0.1343784439738969	32400000	32450000	Urban
5	46196179	0.1019145556391607	46150000	46200000	Urban
5	56980879	0.1166658639567178	56900000	57000000	Urban
7	7456271	0.2330095705696089	7350000	7600000	Rural
7	51086865	0.1529352481733434	51000000	51100000	Urban
7	53765434	0.1598688145594332	53600000	53900000	Urban
9	4381095	0.1424279193389957	4350000	4700000	Urban
9	4816710	0.1798802744926266	4800000	4900000	Urban
9	16439923	0.1832916761342119	16400000	16450000	Rural
9	56609648	0.0462197734925008	56600000	56650000	Rural
10	58182384	0.1495761017682144	58150000	58200000	Rural
10	58330892	0.1518184851518183	58250000	58350000	Rural
13	49803340	0.1758506473953628	49750000	49900000	Rural
14	49475795	0.1610011838322341	49450000	49500000	Rural
16	421930	0.0740740740740741	350000	450000	Urban
16	16698890	0.1288448473774217	16600000	16700000	Rural
